"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"1",8,1,"inspire_us","There is only one rule for being a good talker","Unknown","Inspirational Quote",175,246,"talker","rule","good"
"2",14,2,"inspire_us","The world is but a canvas to the imagination.","Henry David Thoreau","Inspirational Quote",134,180,"canva","imagin","world"
"3",18,3,"inspire_us","Count your rainbows, not your thunderstorms.","Unknown","Inspirational Quote",213,303,"thunderstorm","rainbow","count"
"4",20,4,"inspire_us","Don't stress. Do your best. Forget the rest.","Unknown","Inspirational Quote",300,403,"rest","stress","forget"
"5",26,5,"inspire_us","Let your past make you BETTER not BITTER.","Unknown","Inspirational Quote",260,341,"bitter","past","better"
"6",28,6,"inspire_us","Today is another chance to get it right.","Unknown","Inspirational Quote",307,355,"anoth","chanc","right"
"7",30,7,"inspire_us","Hope anchors the soul.","Unknown","Inspirational Quote",173,227,"anchor","soul","hope"
"8",34,8,"inspire_us","It's hard to beat a person who never gives up.","Babe Ruth","Inspirational Quote",234,281,"beat","person","hard"
"9",37,9,"inspire_us","Isn't it ironic:","We ignore the ones that adore us","Inspirational Quote",406,565,"iron","isnt",NA
"10",48,10,"inspire_us","Everyone you meet has something to teach you.","Unknown","Inspirational Quote",384,462,"meet","teach","everyon"
"11",53,11,"inspire_us","The less you know, the more you believe.","Bono","Inspirational Quote",191,269,"less","believ","know"
"12",61,12,"inspire_us","The art of being wise is knowing what to overlook.","William James","Inspirational Quote",196,229,"overlook","wise","art"
"13",65,13,"inspire_us","Stars can't shine without darkness.","Unknown","Inspirational Quote",256,381,"shine","star","dark"
"14",69,14,"inspire_us","I walk slowly, but I never walk backwards.","Unknown","Inspirational Quote",304,381,"walk","backward","slowli"
"15",72,15,"inspire_us","Do everything in love.","Unknown","Inspirational Quote",264,389,"everyth","love",NA
"16",82,16,"inspire_us","You were born to make an impact.","Unknown","Inspirational Quote",319,420,"impact","born","make"
"17",91,17,"inspire_us","Don't let a hard lesson harden your heart.","Unknown","Inspirational Quote",314,385,"harden","lesson","hard"
"18",102,18,"inspire_us","Pain is real. But so is hope.","Unknown","Inspirational Quote",295,330,"pain","hope","real"
"19",108,19,"inspire_us","What defines us is how well we rise after falling.","Unknown","Inspirational Quote",274,375,"defin","rise","well"
"20",110,20,"inspire_us","You are good enough.","Unknown","Inspirational Quote",259,387,"enough","good",NA
"21",120,21,"inspire_us","Love fearlessly.","Unknown","Inspirational Quote",161,234,"fearless","love",NA
"22",128,22,"inspire_us","I love people who make me smile.","Unknown","Inspirational Quote",493,662,"peopl","smile","make"
"23",129,23,"inspire_us","Love the unloved.","Unknown","Inspirational Quote",338,514,"unlov","love",NA
"24",133,24,"inspire_us","Love is vulnerable.","Unknown","Inspirational Quote",138,223,"vulner","love",NA
"25",143,25,"inspire_us","But even when I am afraid, I keep on trusting you.","Psalm 56:3","Inspirational Quote",257,362,"trust","keep","afraid"
"26",149,26,"inspire_us","Well behaved women seldom make history.","Unknown","Inspirational Quote",132,222,"behav","seldom","women"
"27",157,27,"inspire_us","All great achievements require time.","Maya Angelou","Inspirational Quote",272,360,"requir","achiev","great"
"28",163,28,"inspire_us","Let love win.","Unknown","Inspirational Quote",193,287,"win","let","love"
"29",165,29,"inspire_us","Don't speak unless you can improve the silence.","Unknown","Inspirational Quote",743,1133,"improv","unless","speak"
"30",170,30,"inspire_us","Thankfulness is the beginning of happiness.","Unknown","Inspirational Quote",300,367,"thank","begin","happi"
"31",173,31,"inspire_us","Be a voice, not an echo.","Unknown","Inspirational Quote",323,404,"echo","voic",NA
"32",177,32,"inspire_us","Every saint has a past. Every sinner has a future.","Warren Buffet","Inspirational Quote",212,339,"everi","sinner","saint"
"33",186,33,"greatestquotes","One important key to success is self","confidence. An important key to self","Inspirational Quote",478,642,"key","self","import"
"34",203,34,"greatestquotes","Our aspirations are our possibilities.","Robert Browning","Inspirational Quote",188,279,"aspir","possibl",NA
